,Player,Ntnlty,Overall,1st Season,HOF,GP,W,Career Save %,GAA
0,Rob Zepp,CAN,110,20142015,N,10,5,0.888,2.89
1,Jeff Zatkoff,USA,74,20132014,N,48,18,0.91225,2.4924999999999997
2,Michael Zanier,CAN,--,19841985,N,3,1,0.88,3.89
3,Artyom Zagidulin,RUS,--,20202021,N,1,0,0.818,4.25
4,Matt Zaba,CAN,231,20092010,N,1,0,0.875,3.56
5,Wendell Young,CAN,73,19851986,N,187,59,0.8768,3.8609999999999998
6,Allen York,CAN,158,20112012,N,11,3,0.92,2.3
7,Vitali Yeremeyev,KAZ,209,20002001,N,4,0,0.846,4.52
8,Matthew Yeats,CAN,248,20032004,N,5,1,0.908,3.03
9,Ken Wregget,CAN,45,19831984,N,575,225,0.8856470588235295,3.666470588235294
10,Chris Worthy,GBR,--,19681969,N,26,5,0.8613333333333334,4.706666666666667
11,Gump Worsley,CAN,--,19521953,Y,860,333,0.912842105263158,2.8128571428571427
12,Bernie Wolfe,CAN,--,19751976,N,119,20,0.87275,4.2575
13,Lefty Wilson,CAN,--,19531954,N,3,0,0.979,0.38666666666666666
14,Dunc Wilson,CAN,--,19691970,N,287,80,0.8794000000000001,3.7769999999999997
15,Jordan Willis,CAN,243,19951996,N,1,0,0.929,3.2
16,Roman Will,CZE,--,20152016,N,1,0,0.667,3.25
17,Derek Wilkinson,CAN,145,19951996,N,22,3,0.86825,3.78
18,Adam Wilcox,USA,178,20172018,N,1,0,1.0,0.0
19,Kay Whitmore,CAN,26,19881989,N,155,60,0.8652222222222222,3.6855555555555557
20,Carl Wetzel,USA,--,19641965,N,7,1,0.8235,5.74
21,Adam Werner,SWE,131,20192020,N,2,1,0.914,3.42
22,Tyler Weiman,CAN,164,20072008,N,1,0,1.0,0.0
23,Steve Weeks,CAN,176,19801981,N,291,112,0.8630769230769231,4.0346153846153845
24,Kevin Weekes,CAN,41,19971998,N,348,105,0.8968181818181818,3.044545454545455
25,Scott Wedgewood,CAN,84,20152016,N,40,10,0.9166666666666666,2.6033333333333335
26,Jim Watt,USA,--,19731974,N,1,0,0.8,6.0
27,Cam Ward,CAN,25,20052006,N,701,334,0.9061428571428571,2.8278571428571433
28,Rick Wamsley,CAN,58,19801981,N,407,204,0.8801538461538462,3.4315384615384614
29,Michael Wall,CAN,--,20062007,N,4,2,0.877,2.97
30,Ernie Wakely,CAN,--,19621963,N,113,41,0.8949999999999999,3.06
31,Darcy Wakaluk,CAN,144,19881989,N,191,67,0.881875,3.3325
32,Jimmy Waite,CAN,8,19881989,N,106,28,0.8875454545454545,3.1045454545454545
33,Tomas Vokoun,CZE,226,19961997,N,700,300,0.9022000000000001,3.1926666666666668
34,Dan Vladar,CZE,75,20202021,N,5,2,0.886,3.4
35,Mark Visentin,CAN,27,20132014,N,1,0,0.906,3.06
36,Gilles Villemure,CAN,--,19631964,N,205,100,0.8967,3.134
37,Mike Vernon,CAN,56,19821983,N,782,385,0.8545789473684211,4.1147368421052635
38,Mike Veisor,CAN,45,19731974,N,139,41,0.882,3.9450000000000003
39,Veini Vehvilainen,FIN,173,20202021,N,1,0,0.75,5.63
40,Andrei Vasilevskiy,RUS,19,20142015,N,302,190,0.9188571428571429,2.5028571428571427
41,Semyon Varlamov,RUS,23,20082009,N,529,251,0.9153076923076924,2.6253846153846156
42,Vitek Vanecek,CZE,39,20202021,N,37,21,0.908,2.69
43,John Vanbiesbrouck,USA,72,19811982,N,882,374,0.90195,2.879
44,Steve Valiquette,CAN,190,19992000,N,46,16,0.898,2.895
45,Rogie Vachon,CAN,--,19661967,Y,795,353,0.894875,3.028125
46,Matt Underhill,CAN,170,20032004,N,1,0,0.879,3.95
47,Linus Ullmark,SWE,163,20152016,N,117,50,0.9170000000000001,2.6816666666666666
48,Roman Turek,CZE,113,19961997,N,328,159,0.9101250000000001,2.2525
49,Marty Turco,CAN,124,20002001,N,543,275,0.9064545454545455,2.455454545454545
50,Ron Tugnutt,CAN,81,19871988,N,537,186,0.89275,3.1081250000000002
51,Ted Tucker,CAN,--,19731974,N,5,1,0.892,3.39
52,Niklas Treutle,DEU,--,20152016,N,2,0,0.75,6.04
53,Vincent Tremblay,CAN,72,19791980,N,58,12,0.8635999999999999,5.072
54,Andrei Trefilov,RUS,261,19921993,N,54,12,0.8862857142857142,3.8185714285714285
55,Vesa Toskala,FIN,90,20012002,N,266,129,0.917625,2.35
56,Josh Tordjman,CAN,--,20082009,N,2,0,0.871,4.08
57,Mike Torchia,CAN,74,19941995,N,6,3,0.895,3.3
58,Jerry Toppazzini,CAN,--,19601961,N,1,0,,0.0
59,Dustin Tokarski,CAN,122,20092010,N,47,12,0.9042857142857142,2.6885714285714286
60,Hannu Toivonen,FIN,29,20052006,N,61,18,0.8889999999999999,3.4333333333333336
61,Logan Thompson,CAN,--,20202021,N,1,0,1.0,0.0
62,Wayne Thomas,CAN,--,19721973,N,243,103,0.887,3.35625
63,Tim Thomas,USA,217,20022003,N,426,214,0.9182222222222222,2.5833333333333335
64,Brad Thiessen,CAN,--,20112012,N,5,3,0.858,3.72
65,Jocelyn Thibault,CAN,10,19931994,N,586,238,0.9013571428571429,2.8892857142857147
66,Jose Theodore,CAN,44,19951996,N,648,286,0.8799375,3.065625
67,Chris Terreri,USA,85,19861987,N,406,151,0.8925000000000001,3.0371428571428574
68,Mikael Tellqvist,SWE,70,20012002,N,113,45,0.8981666666666667,2.935
69,Daniel Taylor,GBR,221,20072008,N,4,1,0.8646666666666668,4.366666666666666
70,Bobby Taylor,CAN,--,19711972,N,45,15,0.8728,4.4079999999999995
71,Dave Tataryn,CAN,105,19761977,N,2,1,0.767,7.5
72,Iiro Tarkki,FIN,--,20112012,N,1,1,0.7,4.41
73,John Tanner,CAN,54,19891990,N,21,2,0.8876666666666667,3.57
74,Robbie Tallas,CAN,--,19951996,N,99,28,0.8926666666666666,2.8816666666666664
75,Cam Talbot,CAN,--,20132014,N,347,169,0.917125,2.55875
76,Kari Takko,FIN,97,19851986,N,142,37,0.88,3.8333333333333335
77,Rick Tabaracci,CAN,26,19881989,N,286,93,0.8843636363636364,3.3909090909090907
78,Don Sylvestri,CAN,182,19841985,N,3,0,0.885,3.53
79,Jeremy Swayman,USA,111,20202021,N,10,7,0.945,1.5
80,Niklas Svedberg,SWE,--,20132014,N,19,8,0.9305,2.15
81,Malcolm Subban,CAN,24,20142015,N,82,36,0.8191666666666667,3.936666666666667
82,Jamie Storr,CAN,7,19941995,N,219,85,0.9088,2.636
83,Anthony Stolarz,USA,45,20162017,N,34,10,0.92475,2.44
84,James Stewart Jr,USA,--,19791980,N,1,0,0.444,15.0
85,Wayne Stephenson,CAN,--,19711972,N,328,146,0.8826,3.281
86,Tobias Stephan,CHE,34,20072008,N,11,1,0.9099999999999999,2.84
87,Greg Stefan,CAN,128,19811982,N,299,115,0.8633333333333333,4.055555555555555
88,Robb Stauber,USA,107,19891990,N,62,21,0.84975,4.79
89,Ed Staniowski,CAN,27,19751976,N,219,67,0.8709,3.9859999999999998
90,Rastislav Stana,SVK,193,20032004,N,6,1,0.89,3.12
91,Alex Stalock,USA,112,20102011,N,151,61,0.9141111111111111,2.2577777777777777
92,Sam St. Laurent,CAN,--,19851986,N,34,7,0.8878,3.564
93,Rick St. Croix,CAN,72,19771978,N,131,49,0.877875,3.57875
94,Garret Sparks,USA,190,20152016,N,38,14,0.884,3.516666666666667
95,Christian Soucy,CAN,--,19931994,N,1,0,,0.0
96,Ilya Sorokin,RUS,78,20202021,N,22,13,0.918,2.17
97,Doug Soetaert,CAN,30,19751976,N,284,110,0.8689166666666667,3.9983333333333335
98,Tommy Soderstrom,SWE,214,19921993,N,156,45,0.884,2.882
99,Garth Snow,USA,114,19931994,N,368,135,0.8918333333333334,3.09
100,Bob Sneddon,CAN,--,19701971,N,7,0,0.835,5.63
101,Mike Smith,CAN,161,20062007,N,642,283,0.9104,2.679333333333333
102,Jeremy Smith,USA,54,20162017,N,10,1,0.888,3.54
103,Gary Smith,CAN,--,19651966,N,531,173,0.8926428571428572,3.460714285714286
104,Billy Smith,CAN,59,19711972,Y,679,305,0.8916111111111111,3.3066666666666666
105,Al Smith,CAN,--,19651966,N,231,73,0.8817999999999999,3.501
106,Peter Skudra,LVA,--,19971998,N,146,51,0.8951666666666668,2.7016666666666667
107,Warren Skorodenski,CAN,--,19811982,N,35,12,0.849,4.794
108,Stuart Skinner,CAN,78,20202021,N,1,1,0.868,5.03
109,Paul Skidmore,USA,61,19811982,N,2,1,0.878,3.0
110,Mackenzie Skapski,CAN,170,20142015,N,2,2,0.978,0.5
111,Kent Simpson,CAN,58,20132014,N,1,0,0.714,6.0
112,Gary Simmons,CAN,--,19741975,N,107,30,0.8835,3.6425
113,Don Simmons,CAN,--,19561957,N,249,100,0.904,2.889090909090909
114,Jordan Sigalet,CAN,209,20052006,N,1,0,,0.0
115,Peter Sidorkiewicz,POL,91,19871988,N,246,79,0.870625,3.68375
116,Richard Shulmistra,CAN,--,19971998,N,2,1,0.9425,1.47
117,Mikhail Shtalenkov,RUS,108,19931994,N,190,62,0.8994285714285715,2.9257142857142857
118,Steve Shields,CAN,101,19951996,N,246,80,0.8975,2.939
119,Igor Shesterkin,RUS,118,20192020,N,47,26,0.924,2.5700000000000003
120,Warren Sharples,CAN,184,19911992,N,1,0,0.9,3.69
121,Richard Sevigny,CAN,124,19791980,N,176,80,0.875,3.4375
122,Gilles Senn,CHE,129,20192020,N,2,0,0.902,3.42
123,Ben Scrivens,CAN,--,20112012,N,144,47,0.9072000000000001,2.92
124,Travis Scott,CAN,--,20002001,N,1,0,0.7,7.28
125,Ron Scott,CAN,--,19831984,N,28,8,0.8550000000000001,4.0280000000000005
126,Marek Schwarz,CZE,17,20062007,N,6,0,0.8423333333333334,3.4166666666666665
127,Corey Schwab,CAN,200,19951996,N,147,42,0.90475,2.50875
128,Cory Schneider,USA,26,20082009,N,409,170,0.9133333333333334,2.6841666666666666
129,Paxton Schafer,CAN,47,19961997,N,3,0,0.76,4.65
130,Nolan Schaefer,CAN,166,20052006,N,7,5,0.92,1.87
131,Joe Schaefer,USA,--,19591960,N,2,0,0.8365,5.605
132,Terry Sawchuk,CAN,--,19491950,Y,964,441,0.906,2.6025
133,Philippe Sauve,USA,38,20002001,N,32,10,0.868,4.2700000000000005
134,Bob Sauve,CAN,17,19761977,N,420,182,0.8726923076923078,3.4784615384615383
135,Harri Sateri,FIN,106,20172018,N,9,4,0.911,2.92
136,Juuse Saros,FIN,99,20152016,N,155,76,0.9123333333333333,2.5833333333333335
137,Geoff Sarjeant,CAN,--,19941995,N,8,1,0.862,3.96
138,Curtis Sanford,CAN,--,20022003,N,144,47,0.9038333333333334,2.6366666666666667
139,Michael Sands,CAN,31,19841985,N,6,0,0.862,5.24
140,Ilya Samsonov,RUS,22,20192020,N,45,29,0.9075,2.62
141,Tommy Salo,SWE,118,19941995,N,526,210,0.9005000000000001,2.734
142,Alexander Salak,CZE,--,20092010,N,2,0,0.85,5.41
143,Dany Sabourin,CAN,108,20022003,N,57,18,0.8539999999999999,4.694
144,Jussi Rynnas,FIN,--,20112012,N,5,0,0.8886666666666666,2.9299999999999997
145,Wayne Rutledge,CAN,--,19671968,N,82,28,0.8903333333333334,3.6199999999999997
146,Jim Rutherford,CAN,10,19701971,N,457,151,0.8676923076923077,4.144615384615385
147,Pat Rupp,USA,--,19631964,N,1,0,0.867,4.0
148,Cody Rudkowsky,CAN,--,20022003,N,1,1,1.0,0.0
149,Patrick Roy,CAN,51,19841985,Y,"1,029",551,0.9136842105263158,2.438421052631579
150,Dominic Roussel,CAN,63,19911992,N,205,77,0.89575,2.9875
151,Michael Rosati,CAN,131,19981999,N,1,1,1.0,0.0
152,Roberto Romano,CAN,--,19821983,N,126,46,0.8791666666666668,4.126666666666666
153,Dwayne Roloson,CAN,--,19961997,N,606,227,0.9057857142857143,2.757142857142857
154,Al Rollins,CAN,--,19491950,N,428,139,0.912,2.7912500000000002
155,Moe Roberts,USA,--,19251926,N,1,0,,0.0
156,Fern Rivard,CAN,--,19681969,N,55,9,0.88,4.03
157,David Rittich,CZE,--,20162017,N,134,64,0.9046,2.872
158,Pekka Rinne,FIN,258,20052006,N,683,369,0.9192666666666667,2.416
159,Bob Ring,USA,--,19651966,N,1,0,0.81,7.24
160,Pat Riggin,CAN,33,19791980,N,350,153,0.8795555555555556,3.4433333333333334
161,Dennis Riggin,CAN,--,19591960,N,18,7,0.8865000000000001,3.17
162,Vincent Riendeau,CAN,--,19871988,N,184,85,0.867125,3.85875
163,Curt Ridley,CAN,28,19741975,N,104,27,0.8656666666666667,4.203333333333333
164,Mike Richter,USA,28,19891990,N,666,301,0.9026428571428572,2.9457142857142857
165,Terrance Richardson,CAN,11,19731974,N,20,3,0.8022,6.446000000000001
166,Nick Ricci,CAN,94,19791980,N,19,7,0.84775,4.82
167,Damian Rhodes,USA,112,19901991,N,309,99,0.9051,2.7489999999999997
168,Glenn Resch,CAN,--,19731974,N,571,231,0.8939285714285715,3.1885714285714286
169,James Reimer,CAN,99,20102011,N,385,173,0.9125454545454545,2.8045454545454547
170,Jeff Reese,CAN,67,19871988,N,174,53,0.8689090909090909,3.969090909090909
171,Dave Reece,USA,--,19751976,N,14,7,0.877,3.32
172,Greg Redquest,CAN,65,19771978,N,1,0,0.7,14.08
173,Eldon Reddick,CAN,--,19861987,N,132,46,0.8614999999999999,4.171666666666667
174,Daryl Reaugh,CAN,42,19841985,N,27,8,0.8743333333333334,4.326666666666667
175,Chuck Rayner,CAN,--,19401941,Y,139,41,,2.8866666666666667
176,Alain Raymond,CAN,215,19871988,N,1,0,0.9,3.06
177,Andrew Raycroft,CAN,135,20002001,N,280,113,0.8991818181818182,2.972727272727273
178,Tuukka Rask,FIN,21,20072008,N,560,306,0.9247142857142858,2.165
179,Bill Ranford,CAN,52,19851986,N,647,240,0.8902,3.318
180,Karri Ramo,FIN,191,20062007,N,159,60,0.8918333333333334,3.0033333333333334
181,Jamie Ram,CAN,213,19951996,N,1,0,1.0,0.0
182,Bruce Racine,CAN,58,19951996,N,11,0,0.881,3.13
183,Andre Racicot,CAN,83,19891990,N,68,26,0.8034000000000001,5.680000000000001
184,Antti Raanta,FIN,--,20132014,N,198,93,0.917,2.52625
185,Jonathan Quick,USA,72,20072008,N,666,336,0.9074285714285715,2.551428571428571
186,Chris Pusey,CAN,106,19851986,N,1,0,0.75,4.5
187,Daren Puppa,CAN,74,19851986,N,429,179,0.8888,3.2633333333333336
188,Martin Prusek,CZE,164,20012002,N,57,31,0.87675,2.6574999999999998
189,Ivan Prosvetov,RUS,114,20202021,N,3,0,0.824,4.15
190,Claude Pronovost,CAN,--,19551956,N,3,1,0.887,3.5
191,Cayden Primeau,USA,199,20192020,N,6,2,0.89,3.34
192,Carey Price,CAN,5,20072008,N,707,360,0.9161428571428571,2.5092857142857143
193,Kevin Poulin,CAN,126,20102011,N,50,18,0.9,2.914
194,Felix Potvin,CAN,31,19911992,N,635,266,0.9054615384615385,2.766923076923077
195,Tomas Popperle,CZE,131,20062007,N,2,0,0.929,1.35
196,Justin Pogge,CAN,90,20082009,N,7,1,0.844,4.36
197,Michel Plasse,CAN,1,19701971,N,298,92,0.8757272727272727,3.882727272727273
198,Jacques Plante,CAN,--,19521953,Y,837,437,0.9197333333333334,2.302777777777778
199,Frank Pietrangelo,CAN,63,19871988,N,141,46,0.8748571428571428,4.05
200,Timo Pielmeier,DEU,83,20102011,N,1,0,0.583,7.5
201,Calvin Pickard,CAN,49,20142015,N,113,34,0.8801428571428572,3.457142857142857
202,Jim Pettie,CAN,142,19761977,N,21,9,0.8416666666666667,4.196666666666666
203,Cal Petersen,USA,129,20182019,N,54,19,0.919,2.7133333333333334
204,Justin Peters,CAN,38,20092010,N,83,25,0.9002857142857144,3.0942857142857143
205,Bob Perreault,CAN,--,19551956,N,31,8,0.927,2.9433333333333334
206,Steve Penney,CAN,166,19831984,N,91,35,0.8400000000000001,4.302
207,Marcel Pelletier,CAN,--,19501951,N,8,1,0.9,4.675000000000001
208,Jean-Marc Pelletier,USA,30,19981999,N,7,1,0.8533333333333334,4.053333333333334
209,Pete Peeters,CAN,135,19781979,N,489,246,0.8843076923076924,3.144615384615385
210,Alexander Pechurskiy,RUS,150,20092010,N,1,0,0.923,1.69
211,Ondrej Pavelec,CZE,41,20072008,N,398,156,0.9035454545454545,3.01
212,Dimitri Patzold,KAZ,107,20072008,N,3,0,0.8,5.51
213,Steve Passmore,CAN,196,19981999,N,93,23,0.8941666666666667,2.8800000000000003
214,Edward Pasquale,CAN,117,20182019,N,3,2,0.882,3.96
215,Dave Parro,CAN,34,19801981,N,77,21,0.8703333333333333,3.0575
216,Robert Parent,CAN,65,19811982,N,3,0,0.868,4.77
217,Rich Parent,CAN,--,19971998,N,32,7,0.91275,2.33
218,Bernie Parent,CAN,--,19651966,Y,608,271,0.9115384615384615,2.6576923076923076
219,Darren Pang,CAN,--,19841985,N,81,27,0.8593333333333333,4.073333333333333
220,Mike Palmateer,CAN,85,19761977,N,356,149,0.8805000000000001,3.7775
221,Marcel Paille,CAN,--,19571958,N,107,32,0.8931428571428571,3.5342857142857143
222,Paul Pageau,CAN,--,19801981,N,1,0,0.765,8.0
223,Ted Ouimet,CAN,--,19681969,N,1,0,0.935,2.02
224,Maxime Ouellet,CAN,22,20002001,N,12,2,0.8976666666666667,2.9166666666666665
225,Chris Osgood,CAN,54,19931994,N,744,401,0.9043529411764706,2.5358823529411763
226,Joni Ortio,FIN,170,20132014,N,37,15,0.9003333333333333,2.6
227,Dan Olesevich,CAN,--,19611962,N,1,0,0.895,4.12
228,Bill Oleschuk,CAN,110,19751976,N,55,7,0.87375,4.3675
229,Jake Oettinger,USA,26,20202021,N,29,11,0.911,2.36
230,Michael O'Neill,CAN,--,19911992,N,21,0,0.81175,4.865
231,Matthew O'Connor,CAN,--,20152016,N,1,0,0.912,3.1
232,Pasi Nurminen,FIN,189,20012002,N,125,48,0.9023333333333333,3.09
233,Jack Norris,CAN,--,19641965,N,58,20,0.87475,4.390000000000001
234,Fredrik Norrena,FIN,213,20062007,N,100,35,0.8906666666666667,2.89
235,Mika Noronen,FIN,21,20002001,N,71,23,0.8882,2.864
236,Cristopher Nilstorp,SWE,--,20122013,N,6,1,0.8605,3.8249999999999997
237,Anders Nilsson,SWE,62,20112012,N,161,59,0.9068571428571428,3.0342857142857147
238,Antero Niittymaki,FIN,168,20032004,N,234,95,0.9105714285714287,2.6571428571428575
239,Antti Niemi,FIN,--,20082009,N,464,242,0.9051818181818182,2.769090909090909
240,Cam Newton,CAN,103,19701971,N,16,4,0.871,3.6950000000000003
241,Michal Neuvirth,CZE,34,20082009,N,257,105,0.9051818181818182,2.861818181818182
242,Alex Nedeljkovic,USA,37,20162017,N,29,17,0.9355,1.7374999999999998
243,Gregg Naumenko,USA,--,20002001,N,2,0,0.759,5.99
