,Player,Ntnlty,Overall,1st Season,HOF,GP,W,Career Save %,GAA
490,John Grahame,USA,229,19992000,N,224,97,0.894625,2.895
491,David Goverde,CAN,91,19911992,N,5,1,0.8043333333333335,6.48
492,Mario Gosselin,CAN,55,19831984,N,241,91,0.8735555555555555,3.6344444444444446
493,Scott Gordon,USA,--,19891990,N,23,2,0.8215,5.635
494,Jeff Glass,CAN,89,20172018,N,15,3,0.898,3.36
495,Jon Gillies,USA,75,20162017,N,12,4,0.9299999999999999,1.94
496,Andre Gill,CAN,--,19671968,N,5,3,0.903,2.89
497,Gilles Gilbert,CAN,25,19691970,N,416,192,0.8790714285714286,3.524285714285714
498,Jean-Sebastien Giguere,CAN,13,19961997,N,597,262,0.9096875,2.675
499,John Gibson,USA,39,20132014,N,322,148,0.92025,2.43375
500,Christopher Gibson,FIN,49,20152016,N,16,4,0.9015,2.8025
501,Ed Giacomin,CAN,--,19651966,Y,610,290,0.8979230769230769,2.9492307692307693
502,Martin Gerber,CHE,232,20022003,N,229,113,0.9184285714285715,2.4014285714285712
503,Alexandar Georgiev,RUS,--,20172018,N,96,43,0.9117500000000001,2.9525
504,Jack Gelineau,CAN,--,19481949,N,72,22,,5.905
505,Sean Gauthier,CAN,181,19981999,N,1,0,1.0,0.0
506,Dave Gatherum,CAN,--,19531954,N,3,2,,1.0
507,John Garrett,CAN,38,19791980,N,207,68,0.8584999999999999,4.568333333333333
508,Mathieu Garon,CAN,44,20002001,N,341,144,0.90325,2.8341666666666665
509,Michael Garnett,CAN,80,20012002,N,24,10,0.885,3.44
510,Tyrone Garner,CAN,83,19981999,N,3,0,0.838,5.18
511,George Gardner,CAN,--,19651966,N,66,16,0.9007999999999999,3.2079999999999997
512,Troy Gamble,CAN,25,19861987,N,72,22,0.86725,3.55
513,Bruce Gamble,CAN,--,19581959,N,328,111,0.9054,3.245
514,David Gagnon,CAN,--,19901991,N,2,0,0.786,10.3
515,Joaquin Gage,CAN,109,19941995,N,23,4,0.8586666666666667,3.8266666666666667
516,Kaden Fulcher,CAN,--,20182019,N,1,0,0.818,4.41
517,Yutaka Fukufuji,JPN,238,20062007,N,4,0,0.837,4.37
518,Grant Fuhr,CAN,8,19811982,Y,868,403,0.8844210526315789,3.4726315789473685
519,Bob Froese,CAN,160,19821983,N,242,128,0.888875,3.1125
520,Karl Friesen,CAN,--,19861987,N,4,0,0.8,7.38
521,Ray Frederick,CAN,--,19541955,N,5,0,,4.4
522,Jeff Frazee,USA,38,20122013,N,1,0,1.0,0.0
523,Pavel Francouz,CZE,--,20182019,N,36,21,0.933,2.185
524,Emile Francis,CAN,--,19461947,N,19,5,,3.08
525,Mike Fountain,CAN,45,19961997,N,11,2,0.8654999999999999,3.5125
526,Scott Foster,CAN,--,20172018,N,1,0,1.0,0.0
527,Norm Foster,CAN,222,19901991,N,13,7,0.86,3.6500000000000004
528,Brian Foster,USA,161,20112012,N,1,0,1.0,0.0
529,Anton Forsberg,SWE,188,20142015,N,56,15,0.8898333333333334,3.5583333333333336
530,Brian Ford,CAN,--,19831984,N,11,3,0.826,6.33
531,Marc-Andre Fleury,CAN,1,20032004,N,883,492,0.9131176470588235,2.584705882352941
532,Wade Flaherty,CAN,181,19911992,N,120,27,0.889090909090909,3.716363636363636
533,Mark Fitzpatrick,CAN,27,19881989,N,329,113,0.8964166666666666,3.1725
534,Stephane Fiset,CAN,24,19891990,N,390,164,0.889923076923077,3.4438461538461533
535,Brian Finley,CAN,6,20022003,N,4,0,0.8356666666666667,4.633333333333333
536,Eric Fichaud,CAN,16,19951996,N,95,22,0.8923333333333333,3.2383333333333333
537,Manny Fernandez,CAN,52,19941995,N,325,143,0.9037692307692308,2.683076923076923
538,Dylan Ferguson,CAN,194,20172018,N,1,0,0.5,6.5
539,Doug Favell,CAN,--,19671968,N,373,124,0.8890833333333333,3.549166666666667
540,Viktor Fasth,SWE,--,20122013,N,63,26,0.904,2.8066666666666666
541,Rocky Farr,CAN,--,19721973,N,19,2,0.8816666666666667,4.44
542,Scott Fankhouser,USA,276,19992000,N,23,4,0.8955,3.45
543,Randy Exelby,CAN,--,19881989,N,2,0,0.9139999999999999,2.505
544,Claude Evans,CAN,--,19541955,N,5,1,0.882,3.8
545,Bob Essensa,CAN,69,19881989,N,446,173,0.8925833333333334,3.0416666666666665
546,Tony Esposito,CAN,--,19681969,Y,886,423,0.90525,3.013125
547,Robert Esche,USA,139,19981999,N,186,78,0.89275,2.9875
548,Erik Ersberg,SWE,--,20072008,N,53,18,0.911,2.5066666666666664
549,Joacim Eriksson,SWE,196,20132014,N,1,0,0.806,9.99
550,Chad Erickson,USA,138,19911992,N,2,1,0.836,4.5
551,Jhonas Enroth,SWE,46,20092010,N,153,50,0.9055,3.01875
552,Ray Emery,CAN,99,20022003,N,287,145,0.9079090909090909,2.537272727272727
553,Dan Ellis,CAN,60,20032004,N,212,87,0.9037777777777778,2.8377777777777777
554,Brian Elliott,CAN,291,20072008,N,502,256,0.9142857142857144,2.422857142857143
555,Ken Ellacott,CAN,47,19821983,N,12,2,0.867,4.47
556,Darren Eliot,CAN,115,19841985,N,88,24,0.8452,5.109999999999999
557,Brian Eklund,USA,226,20052006,N,1,0,0.842,3.09
558,Roy Edwards,CAN,--,19671968,N,236,96,0.8962857142857142,3.2942857142857145
559,Marv Edwards,CAN,--,19681969,N,61,15,0.8955,3.63
560,Gary Edwards,CAN,6,19681969,N,286,88,0.8853076923076924,3.426153846153846
561,Don Edwards,CAN,89,19761977,N,459,208,0.8855999999999999,3.4200000000000004
562,Ed Dyck,CAN,30,19711972,N,49,8,0.8606666666666666,4.283333333333333
563,Robert Dupuis,CAN,--,19791980,N,1,0,0.886,4.05
564,Mike Dunham,USA,53,19961997,N,394,141,0.9057999999999999,2.766
565,Michel Dumas,CAN,--,19741975,N,8,2,0.856,3.8500000000000005
566,Parris Duffus,USA,180,19961997,N,1,0,0.875,2.08
567,Jeremy Duchesne,USA,119,20092010,N,1,0,0.75,3.59
568,Devan Dubnyk,CAN,14,20092010,N,542,253,0.9096666666666667,2.7675
569,Wade Dubielewicz,CAN,--,20032004,N,43,18,0.9021666666666667,2.6533333333333333
570,Ken Dryden,CAN,14,19701971,Y,397,258,0.924625,2.17125
571,Dave Dryden,CAN,--,19611962,N,203,69,0.8921111111111111,3.466666666666667
572,Chris Driedger,CAN,76,20142015,N,38,21,0.9196,2.024
573,Tom Draper,CAN,165,19881989,N,53,19,0.8455,4.476666666666667
574,Bruce Dowie,CAN,--,19831984,N,2,0,0.907,3.33
575,Robert Dopson,CAN,--,19931994,N,2,0,0.87,3.96
576,Louis Domingue,CAN,138,20142015,N,140,58,0.8978571428571429,3.1114285714285717
577,Reinhard Divis,AUT,261,20012002,N,28,6,0.92775,2.04
578,Michael Dipietro,CAN,64,20182019,N,2,0,0.7825,7.08
579,Michel Dion,CAN,--,19791980,N,227,60,0.866,4.4816666666666665
580,Rick DiPietro,USA,1,20002001,N,318,130,0.8920909090909092,3.1481818181818184
581,Patrick Desrochers,CAN,14,20002001,N,11,2,0.8674999999999999,3.67
582,Jeff Deslauriers,CAN,31,20082009,N,62,23,0.9016666666666667,3.1133333333333333
583,Gerry Desjardins,CAN,--,19681969,N,332,123,0.8838000000000001,3.2880000000000003
584,Cedrick Desjardins,CAN,--,20102011,N,6,2,0.9013333333333332,3.5500000000000003
585,Marc Denis,CAN,25,19961997,N,349,112,0.894,3.05
586,Thatcher Demko,USA,36,20172018,N,72,34,0.9,3.1575
587,Aaron Dell,CAN,--,20162017,N,114,49,0.899,2.992
588,Collin Delia,USA,--,20172018,N,24,8,0.8996666666666666,3.72
589,Matt Delguidice,USA,77,19901991,N,11,2,0.9415,1.98
590,Mark Dekanich,CAN,146,20102011,N,1,0,0.88,3.6
591,Norm Defelice,CAN,--,19561957,N,10,3,0.894,3.0
592,Casey DeSmith,USA,--,20172018,N,70,32,0.9163333333333333,2.563333333333333
593,Denis DeJordy,CAN,--,19621963,N,317,120,0.8638181818181819,3.9954545454545456
594,Philippe De Rouville,CAN,115,19941995,N,3,1,0.899,3.12
595,John Davidson,CAN,5,19731974,N,301,123,0.8926999999999999,3.282
596,Cleon Daskalakis,USA,--,19841985,N,12,3,0.8446666666666666,4.776666666666666
597,Scott Darling,USA,153,20142015,N,126,54,0.9094000000000001,2.686
598,Oscar Dansk,SWE,31,20172018,N,6,4,0.882,3.896666666666667
599,Yann Danis,CAN,--,20052006,N,55,17,0.8721666666666668,3.31
600,Jean-Francois Damphousse,CAN,24,20012002,N,6,1,0.896,2.45
601,Joe Daley,CAN,--,19681969,N,105,34,0.89925,3.2625
602,Byron Dafoe,GBR,35,19921993,N,415,171,0.8935454545454546,2.7675
603,Doug Dadswell,CAN,--,19861987,N,27,8,0.8594999999999999,4.595
604,Joey Daccord,USA,199,20182019,N,9,1,0.886,4.135
605,Marc D'amour,CAN,--,19851986,N,16,2,0.9485,1.715
606,Corrie D'alessio,CAN,107,19921993,N,1,0,1.0,0.0
607,Claude Cyr,CAN,--,19581959,N,1,0,0.857,3.0
608,Donald Cutts,CAN,97,19791980,N,6,1,0.887,3.57
609,John Curry,USA,--,20082009,N,8,3,0.8215,5.46
610,Roger Crozier,CAN,--,19631964,N,515,206,0.9042857142857142,2.957142857142857
611,Jiri Crha,CZE,--,19791980,N,69,28,0.8915,3.85
612,Corey Crawford,CAN,52,20052006,N,488,260,0.9156923076923077,2.540769230769231
613,Jim Craig,USA,72,19791980,N,30,11,0.847,4.13
614,Wayne Cowley,CAN,--,19931994,N,1,0,0.914,3.15
615,Marcel Cousineau,CAN,62,19961997,N,26,4,0.9225000000000001,2.0675
616,Jim Corsi,CAN,--,19791980,N,26,8,0.874,3.66
617,Jared Coreau,CAN,--,20162017,N,21,5,0.877,3.86
618,Pheonix Copley,USA,--,20152016,N,29,16,0.8553333333333333,3.483333333333333
619,Ty Conklin,USA,--,20012002,N,215,96,0.9031111111111111,2.6877777777777774
620,Mike Condon,USA,--,20152016,N,129,45,0.87975,3.705
621,Eric Comrie,CAN,59,20162017,N,9,3,0.8725999999999999,4.066
622,Gerald Coleman,USA,224,20052006,N,2,0,0.882,2.77
623,Jacques Cloutier,CAN,55,19811982,N,255,82,0.8769166666666667,3.605833333333333
624,Dan Cloutier,CAN,26,19971998,N,351,139,0.8960000000000001,2.9370000000000003
625,Matt Climie,CAN,--,20082009,N,5,2,0.9,3.2566666666666664
626,Chris Clifford,CAN,111,19841985,N,2,0,1.0,0.0
627,Scott Clemmensen,USA,215,20012002,N,191,73,0.8863333333333333,3.0258333333333334
628,Mathieu Chouinard,CAN,45,20002001,N,1,0,1.0,0.0
629,Andy Chiodo,CAN,199,20032004,N,8,3,0.892,3.46
630,Alain Chevrier,CAN,--,19851986,N,234,91,0.8516666666666667,4.49
631,Tim Cheveldae,CAN,64,19881989,N,340,149,0.8782222222222222,3.6355555555555554
632,Gerry Cheevers,CAN,--,19611962,Y,418,227,0.8944615384615384,3.1030769230769235
633,Sebastien Charpentier,CAN,93,20002001,N,26,6,0.9056666666666667,2.8866666666666667
634,Bob Champoux,CAN,--,19731974,N,17,2,0.848,5.21
635,Ed Chadwick,CAN,--,19551956,N,184,57,0.9035000000000001,3.111666666666667
636,Frederic Chabot,CAN,192,19901991,N,32,4,0.8928,2.9579999999999997
637,Sebastien Centomo,CAN,--,20012002,N,1,0,0.75,4.5
638,Roman Cechmanek,CZE,171,20002001,N,212,110,0.91825,2.0999999999999996
639,Frederic Cassivi,CAN,210,20002001,N,13,3,0.873,3.8425000000000002
640,Jon Casey,USA,--,19831984,N,425,170,0.8855,3.3966666666666665
641,Lyle Carter,CAN,--,19711972,N,15,4,0.861,4.16
642,Sebastien Caron,CAN,86,20002001,N,95,26,0.8984,2.968
643,Jacques Caron,CAN,--,19671968,N,72,24,0.8779999999999999,3.772
644,Jim Carey,USA,32,19941995,N,172,79,0.8854,2.848
645,Frank Caprice,CAN,178,19821983,N,102,31,0.8166666666666668,5.203333333333333
646,Jack Campbell,USA,11,20132014,N,86,40,0.9248333333333334,2.6216666666666666
647,Don Caley,CAN,--,19671968,N,1,0,0.864,6.0
648,Sean Burke,CAN,24,19871988,N,820,324,0.9009444444444443,2.9544444444444444
649,Tyler Bunz,CAN,121,20142015,N,1,0,0.75,9.0
650,Bruce Bullock,CAN,--,19721973,N,16,3,0.8220000000000001,5.1866666666666665
651,Peter Budaj,SVK,63,20052006,N,368,158,0.8934615384615385,2.996923076923077
652,Ilya Bryzgalov,RUS,44,20012002,N,465,221,0.9079166666666666,2.5966666666666667
653,Barry Brust,CAN,73,20062007,N,11,2,0.878,3.7
654,Mario Brunetta,CAN,162,19871988,N,40,12,0.8603333333333333,4.283333333333334
655,Ken Brown,CAN,--,19701971,N,1,0,0.929,3.37
656,Andy Brown,CAN,--,19711972,N,62,22,0.8786666666666667,3.9299999999999997
657,Laurent Brossoit,CAN,164,20142015,N,82,32,0.9118571428571428,2.724285714285714
658,Ross Brooks,CAN,--,19721973,N,54,37,0.9016666666666667,2.66
659,Gary Bromley,CAN,--,19731974,N,136,54,0.863,4.006666666666667
660,Richard Brodeur,CAN,97,19791980,N,385,131,0.8672222222222222,3.9322222222222223
661,Mike Brodeur,CAN,211,20092010,N,7,3,0.8995,2.67
662,Martin Brodeur,CAN,20,19911992,Y,"1,266",691,0.9095454545454547,2.3363636363636364
663,Len Broderick,CAN,--,19571958,N,1,1,0.909,2.0
664,Ken Broderick,CAN,--,19691970,N,27,11,0.886,3.3066666666666666
665,Turk Broda,CAN,--,19361937,Y,32,15,,4.115
666,Martin Brochu,CAN,--,19981999,N,9,0,0.898,3.0033333333333334
667,Fred Brathwaite,CAN,--,19931994,N,254,81,0.8974444444444445,2.8744444444444444
668,Kevin Boyle,USA,--,20182019,N,5,1,0.928,2.17
669,Johnny Bower,CAN,--,19531954,Y,552,250,0.9144615384615384,2.716
670,Landon Bow,CAN,--,20182019,N,2,0,0.947,1.03
671,Rollie Boutin,CAN,111,19781979,N,22,7,0.8483333333333333,5.226666666666667
672,Brian Boucher,USA,22,19992000,N,328,120,0.8990769230769231,2.7584615384615385
673,Dan Bouchard,CAN,27,19721973,N,656,286,0.8897857142857143,3.267857142857143
674,Gilles Boisvert,CAN,--,19591960,N,3,0,0.89,3.0
675,Sergei Bobrovsky,RUS,--,20102011,N,538,297,0.9150909090909092,2.601818181818182
676,John Blue,USA,197,19921993,N,46,16,0.8896666666666667,3.1366666666666667
677,Mike Blake,CAN,--,19811982,N,40,13,0.8873333333333333,3.623333333333333
678,Mackenzie Blackwood,CAN,42,20182019,N,105,46,0.9116666666666667,2.8066666666666666
679,Dan Blackburn,CAN,10,20012002,N,63,20,0.894,3.2249999999999996
680,Ben Bishop,USA,85,20082009,N,413,222,0.9151818181818182,2.4527272727272726
681,Martin Biron,CAN,16,19951996,N,508,230,0.8974375,3.034375
682,Jordan Binnington,CAN,88,20152016,N,125,72,0.87475,2.9475000000000002
683,Les Binkley,CAN,--,19671968,N,196,58,0.8952,3.152
684,Andre Binette,CAN,--,19541955,N,1,1,,4.0
685,Craig Billington,CAN,23,19851986,N,332,110,0.8751333333333334,3.5886666666666667
686,Zac Bierk,CAN,212,19971998,N,47,9,0.8766666666666666,3.6366666666666667
687,Antoine Bibeau,CAN,172,20162017,N,4,2,0.904,2.63
688,Allan Bester,CAN,48,19831984,N,219,73,0.8583000000000001,3.882
689,J-F Berube,CAN,95,20152016,N,34,9,0.899,3.3033333333333332
690,Daniel Berthiaume,CAN,60,19861987,N,215,81,0.762625,26.54625
691,Reto Berra,CHE,106,20132014,N,76,20,0.907,2.778
692,Jonathan Bernier,CAN,11,20072008,N,394,161,0.9123846153846155,2.686923076923077
693,Tim Bernhardt,CAN,47,19821983,N,67,17,0.78975,5.585
694,Adam Berkhoel,USA,240,20052006,N,9,2,0.882,3.8
695,Jean Claude Bergeron,CAN,104,19901991,N,72,21,0.8706666666666667,3.735
696,Michel Belhumeur,CAN,40,19721973,N,65,9,0.8746666666666667,4.57
697,Ed Belfour,CAN,--,19881989,Y,963,484,0.9050588235294118,2.566470588235294
698,Yves Belanger,CAN,--,19741975,N,78,29,0.852,3.985
699,Marc Behrend,USA,85,19831984,N,39,12,0.8356666666666666,5.23
700,Jim Bedard,CAN,91,19771978,N,73,17,0.871,4.015000000000001
701,Chris Beckford-Tseu,CAN,159,20072008,N,1,0,0.889,2.25
702,Stephane Beauregard,CAN,52,19891990,N,90,19,0.8718,3.882
703,Don Beaupre,CAN,37,19801981,N,666,268,0.8821764705882353,3.586470588235294
704,Gary Bauman,CAN,--,19661967,N,35,5,0.8883333333333333,3.4633333333333334
705,Hank Bassen,CAN,--,19541955,N,157,47,0.896375,3.1177777777777775
706,Tom Barrasso,USA,5,19831984,N,777,369,0.8890526315789473,3.4331578947368424
707,Marco Baron,CAN,99,19791980,N,86,34,0.8485,3.5283333333333338
708,Murray Bannerman,CAN,58,19771978,N,289,116,0.89325,3.43375
709,Mike Bales,CAN,105,19921993,N,23,2,0.88725,2.8025
710,Steve Baker,USA,44,19791980,N,57,20,0.8595,3.9775
711,Scott Bailey,CAN,112,19951996,N,19,6,0.875,3.46
712,Niklas Backstrom,FIN,--,20062007,N,413,196,0.9086000000000001,2.632
713,Johan Backlund,SWE,--,20092010,N,1,0,0.917,3.0
714,Richard Bachman,USA,120,20102011,N,49,20,0.90475,2.9425
715,Ryan Bach,CAN,262,19981999,N,3,0,0.879,4.45
716,Jason Bacashihua,USA,26,20022003,N,38,7,0.8975,3.1950000000000003
717,David Ayres,CAN,--,20192020,N,1,1,0.8,4.18
718,Alex Auld,CAN,40,20012002,N,237,91,0.9077999999999999,2.602
719,Jean-Sebastien Aubin,CAN,76,19981999,N,218,80,0.8983333333333334,2.9366666666666665
720,Hardy Astrom,SWE,--,19771978,N,83,17,0.8753333333333333,3.6799999999999997
721,Tom Askey,USA,186,19971998,N,7,0,0.894,2.64
722,Kenneth Appleby,CAN,--,20172018,N,3,0,0.945,1.45
723,Lorne Anderson,CAN,--,19511952,N,3,1,,6.0
724,Craig Anderson,USA,73,20022003,N,652,291,0.912,2.7816666666666667
725,Frederik Andersen,DNK,87,20132014,N,393,226,0.9141250000000001,2.62875
726,Jorge Alves,USA,--,20162017,N,1,0,,0.0
727,Red Almas,CAN,--,19461947,N,2,0,,4.0
728,Jake Allen,CAN,34,20122013,N,318,159,0.91225,2.49
729,Sami Aittokallio,FIN,107,20122013,N,2,0,0.8765000000000001,3.465
730,Don Aiken,USA,--,19571958,N,1,0,0.667,10.67
731,David Aebischer,CHE,161,20002001,N,214,106,0.9117142857142858,2.557142857142857
732,John Adams,CAN,--,19721973,N,22,9,0.8694999999999999,4.95
